a1:a1:lemna gibba community,A1,Lemna gibba community,A1
a1:a1:lemna gibba community,A10,Polygonum amphibium community,A10
a1:a1:lemna gibba community,A11,Potamogeton pectinatus-Myriophyllum spicatum community,A11
a1:a1:lemna gibba community,A11a,"Potamogeton pectinatus-Myriophyllum spicatum community, Potamogeton pusillus sub-community",A11
a1:a1:lemna gibba community,A11b,"Potamogeton pectinatus-Myriophyllum spicatum community, Elodea canadensis sub-community",A11
a1:a1:lemna gibba community,A11c,"Potamogeton pectinatus-Myriophyllum spicatum community, Potamogeton filiformis sub-community",A11
a1:a1:lemna gibba community,A12,Potamogeton pectinatus community,A12
a1:a1:lemna gibba community,A13,Potamogeton perfoliatus-Myriophyllum alterniflorum community,A13
a1:a1:lemna gibba community,A13a,"Potamogeton perfoliatus-Myriophyllum alterniflorum community, Potamogeton berchtoldii sub-community",A13
a1:a1:lemna gibba community,A13b,"Potamogeton perfoliatus-Myriophyllum alterniflorum community, Potamogeton filiformis sub-community",A13
a1:a1:lemna gibba community,A14,Myriophyllum alterniflorum community,A14
a1:a1:lemna gibba community,A15,Elodea canadensis community,A15
a1:a1:lemna gibba community,A16,Callitriche stagnalis community,A16
a1:a1:lemna gibba community,A16a,"Callitriche stagnalis community, Callitriche spp. sub-community",A16
a1:a1:lemna gibba community,A16b,"Callitriche stagnalis community, Potamogeton pectinatus sub-community",A16
a1:a1:lemna gibba community,A17,Ranunculus penicillatus ssp. pseudofluitans community,A17
a1:a1:lemna gibba community,A18,Ranunculus fluitans community,A18
a1:a1:lemna gibba community,A19,Ranunculus aquatilis community,A19
a1:a1:lemna gibba community,A2,Lemna minor community,A2
a2:a2:lemna minor community,A20,Ranunculus peltatus community,A20
a2:a2:lemna minor community,A21,Ranunculus baudotii community,A21
a2:a2:lemna minor community,A22,Littorella uniflora-Lobelia dortmanna community,A22
a2:a2:lemna minor community,A22a,"Littorella uniflora-Lobelia dortmanna community, Littorella uniflora sub-community",A22
a2:a2:lemna minor community,A22b,"Littorella uniflora-Lobelia dortmanna community, Myriophyllum alterniflorum sub-community",A22
a2:a2:lemna minor community,A23,Isoetes lacustris/setacea community,A23
a2:a2:lemna minor community,A24,Juncus bulbosus community,A24
a2:a2:lemna minor community,A24a,"Juncus bulbosus community, Utricularia vulgaris agg. sub-community",A24
a2:a2:lemna minor community,A24b,"Juncus bulbosus community, Sphagnum auriculatum sub-community",A24
a2:a2:lemna minor community,A2a,"Lemna minor community, typical sub-community",A2
a2:a2:lemna minor community,A2b,"Lemna minor community, Lemna trisulca sub-community",A2
a2:a2:lemna minor community,A2c,"Lemna minor community, Riccia fluitans-Ricciocarpus natans sub-community",A2
a2:a2:lemna minor community,A3,Spirodela polyrhiza-Hydrocharis morsus-ranae community,A3
a2:a2:lemna minor community,A4,Hydrocharis morsus-ranae-Stratiotes aloides community,A4
a2:a2:lemna minor community,A5,Ceratophyllum demersum community,A5
a2:a2:lemna minor community,A5a,"Ceratophyllum demersum community, Ranunculus circinatus sub-community",A5
a2:a2:lemna minor community,A5b,"Ceratophyllum demersum community, Lemna minor sub-community",A5
a2:a2:lemna minor community,A7,Nymphaea alba community,A7
"a2:a2a:lemna minor community, typical sub-community",A7a,"Nymphaea alba community, species-poor sub-community",A7
