from,to,probability,succession_key,flooding,grazing,explore,drying,grazingstopped,abandonment,improvement,fire,clearance,mowing,wetting,ploughingstarted,ploughingstopped,myxomatosis,mowingstopped,fr,sum,label
A1,A15,0.5,A1:A1:A15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1,0.0,0.0
A10,A11,0.5,A10:A10:A11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A10,0.0,0.0
A10,A22,0.5,A10:A10:A22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A10,0.0,0.0
A10,S27,0.5,A10:A10:S27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A10,0.0,0.0
A10,MG11,0.5,A10:A10:MG11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A10,1.0,1.0
A11,A22,0.5,A11:A11:A22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A11,0.0,0.0
A11,A9,0.5,A11:A11:A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A11,0.0,0.0
A12,A10,0.5,A12:A12:A10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A12,0.0,0.0
A12,A16,0.5,A12:A12:A16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A12,0.0,0.0
A13,A22,0.5,A13:A13:A22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A13,0.0,0.0
A13,A8,0.5,A13:A13:A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A13,0.0,0.0
A13,A9,0.5,A13:A13:A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A13,0.0,0.0
A13,S27,0.5,A13:A13:S27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A13,0.0,0.0
A14,A22,0.5,A14:A14:A22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A14,0.0,0.0
A14,A16,0.5,A14:A14:A16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A14,0.0,0.0
A17,A8,0.5,A17:A17:A8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A17,0.0,0.0
A19,A14,0.5,A19:A19:A14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A19,0.0,0.0
A2,A15,0.5,A2:A2:A15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A2,0.0,0.0
A21,MG12,0.5,A21:A21:MG12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A21,0.0,0.0
A21,MG11,0.5,A21:A21:MG11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A21,0.0,0.0
A21,MG13,0.5,A21:A21:MG13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A21,0.0,0.0
A22,A13,0.5,A22:A22:A13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A22,0.0,0.0
