id,fwdcount,revcount,explore
A1,1,0,0
A10,4,3,0
A11,2,2,0
A12,2,2,0
A13,4,4,0
A14,2,1,0
A17,1,0,0
A19,1,0,0
A2,1,0,0
A21,3,0,0
A22,2,8,0
A23,1,0,0
A24,1,2,0
A3,3,0,0
A4,2,0,0
A5,1,0,0
A7,4,0,0
A8,2,2,0
A9,3,3,0
CG1,6,3,1
CG10,17,24,0
CG11,3,15,0
CG12,8,11,0
CG13,6,4,1
CG14,6,9,0
CG2,7,19,1
CG3,1,1,0
CG4,1,0,0
CG5,1,0,0
CG6,3,2,0
CG7,2,7,0
CG8,1,3,0
CG9,11,13,0
H1,6,8,1
H10,12,18,1
H11,7,6,1
H12,15,23,0
H13,10,11,0
H14,11,10,0
H15,12,3,0
H16,8,0,0
H17,12,2,0
H18,19,20,0
H19,11,6,0
H2,8,11,1
H20,6,10,0
H21,12,8,0
H22,14,8,0
H3,5,5,1
H4,10,2,1
H5,8,0,1
H6,3,1,1
H7,9,10,1
H8,16,12,1
H9,5,6,0
M1,4,2,0
M10,17,15,0
M11,11,9,0
M12,13,0,0
M13,11,0,0
M14,2,6,0
M15,4,28,0
M16,13,9,1
M17,7,18,0
M18,13,17,0
M19,13,22,0
M2,4,0,0
M20,11,0,0
M21,7,15,1
M22,8,6,0
M23,16,7,0
M24,13,8,0
M25,9,13,0
M26,11,3,0
M27,13,5,0
M28,10,2,0
M29,4,4,0
M3,1,0,0
M31,1,0,0
M32,9,9,0
M33,4,0,0
M34,3,0,0
M35,6,0,0
M37,4,5,0
M38,4,3,0
M4,3,13,0
M5,10,12,0
M6,12,11,0
M7,7,10,0
M8,5,10,0
M9,13,8,0
MC1,2,0,1
MC10,2,7,1
MC11,1,8,1
MC12,1,0,1
MC2,2,3,1
MC3,2,1,1
MC4,2,0,1
MC5,3,6,1
MC6,4,2,1
MC8,5,11,1
MC9,2,12,1
MG1,2,0,0
MG10,4,16,0
MG11,3,12,0
MG12,2,3,0
MG13,2,10,0
MG2,1,1,0
MG3,6,3,0
MG4,4,0,0
MG5,2,10,0
MG6,4,28,0
MG8,1,0,0
MG9,3,5,0
OV1,1,0,0
OV10,5,3,0
OV11,1,1,0
OV12,6,1,0
OV13,1,0,0
OV16,2,0,0
OV17,1,0,0
OV18,6,9,0
OV19,4,3,0
OV2,1,1,0
OV20,5,0,0
OV21,8,8,0
OV22,4,4,0
OV23,7,8,1
OV24,5,7,0
OV25,8,8,1
OV26,7,0,0
OV27,19,0,1
OV28,6,2,0
OV29,3,0,0
OV3,1,0,0
OV30,2,0,0
OV31,3,0,0
OV32,1,0,0
OV33,5,5,0
OV34,2,0,1
OV35,1,0,0
OV36,1,0,0
OV37,10,0,1
OV38,5,0,1
OV39,7,0,1
OV4,4,0,0
OV40,3,1,0
OV41,2,0,1
OV6,1,3,0
OV7,1,0,0
OV8,1,0,0
OV9,4,5,0
S1,1,0,0
S12,3,0,0
S13,1,0,0
S14,2,0,0
S17,1,1,0
S18,1,0,0
S2,1,0,0
S21,1,0,0
S22,1,0,0
S23,1,0,0
S24,7,14,0
S25,4,16,0
S26,3,13,0
S27,5,14,0
S28,5,0,0
S3,2,1,0
S5,2,0,0
S7,1,1,0
S9,1,0,0
SD1,3,1,0
SD10,10,0,1
SD11,8,3,1
SD12,7,6,1
SD13,3,1,1
SD14,3,0,1
SD15,3,0,0
SD16,4,6,1
SD17,5,2,0
SD18,5,0,1
SD19,2,0,0
SD2,3,5,0
SD3,2,2,0
SD4,3,0,0
SD5,1,0,0
SD6,4,0,0
SD7,6,12,1
SD8,18,18,1
SD9,8,5,1
SM16,1,0,0
SM25,1,0,0
SM28,2,0,0
U1,9,9,1
U10,23,17,0
U11,9,6,0
U12,8,9,0
U13,14,16,0
U14,11,4,0
U15,8,7,0
U16,12,9,0
U17,9,7,0
U18,6,7,0
U19,8,0,0
U2,12,1,1
U20,26,17,1
U21,6,0,0
U3,10,1,1
U4,22,29,1
U5,13,40,0
U6,11,7,0
U7,16,18,0
U8,8,9,0
U9,7,9,0
W1,7,7,1
W10,8,17,0
W11,8,14,0
W12,2,5,0
W13,4,0,1
W14,8,8,1
W15,3,3,0
W16,11,12,1
W17,8,16,0
W18,9,15,0
W19,10,0,0
W2,7,11,0
W20,7,3,0
W21,12,14,1
W22,9,5,1
W23,20,19,1
W24,8,15,1
W25,5,8,1
W3,8,9,0
W4,4,26,0
W5,8,11,0
W6,6,12,0
W7,5,17,0
W8,15,15,1
A15,0,3,0
A16,0,2,0
MG7,0,16,0
OV14,0,1,0
S16,0,1,0
SM18,0,1,0
SM21,0,1,0
