lemnagibba ,Lemna gibba 
lemnaminor ,Lemna minor 
spirodelapolyrhiza ,Spirodela polyrhiza 
nasturtiumofficinale ,Nasturtium officinale 
lemnatrisulca ,Lemna trisulca 
callitricheobtusangula ,Callitriche obtusangula 
ranunculussceleratus ,Ranunculus sceleratus 
hydrocharismorsus-ranae ,Hydrocharis morsus-ranae 
elodeacanadensis ,Elodea canadensis 
callitrichestagnalis sens.lat,Callitriche stagnalis sens.lat
potamogetonpectinatus ,Potamogeton pectinatus 
apiumnodiflorum ,Apium nodiflorum 
ranunculustrichophyllus ,Ranunculus trichophyllus 
potamogetonnatans ,Potamogeton natans 
wolffiaarrhiza ,Wolffia arrhiza 
drepanocladusfluitans ,Drepanocladus fluitans 
zannichelliapalustris ,Zannichellia palustris 
menthaaquatica ,Mentha aquatica 
numberof species per sample,Number of species per sample
bidenstripartita ,Bidens tripartita 
potamogetonlucens ,Potamogeton lucens 
callitricheintermedia ,Callitriche intermedia 
myriophyllumspicatum ,Myriophyllum spicatum 
ranunculuspeltatus ,Ranunculus peltatus 
ceratophyllumdemersum ,Ceratophyllum demersum 
berulaerecta ,Berula erecta 
alismaplantago-aquatica ,Alisma plantago-aquatica 
ricciafluitans ,Riccia fluitans 
ricciocarposnatans ,Ricciocarpos natans 
glyceriafluitans ,Glyceria fluitans 
ranunculuscircinatus ,Ranunculus circinatus 
callitricheplatycarpa ,Callitriche platycarpa 
potamogetoncrispus ,Potamogeton crispus 
azollafiliculoides ,Azolla filiculoides 
polygonumamphibium ,Polygonum amphibium 
stratiotesaloides ,Stratiotes aloides 
utriculariavulgaris ,Utricularia vulgaris 
myriophyllumverticillatum ,Myriophyllum verticillatum 
nupharlutea ,Nuphar lutea 
potamogetonobtusifolius ,Potamogeton obtusifolius 
potentillapalustris ,Potentilla palustris 
hottoniapalustris ,Hottonia palustris 
ceratophyllumsubmersum ,Ceratophyllum submersum 
oenantheaquatica ,Oenanthe aquatica 
sparganiumerectum ,Sparganium erectum 
siumlatifolium ,Sium latifolium 
nymphaeaalba ,Nymphaea alba 
ranunculuslingua ,Ranunculus lingua 
sagittariasagittifolia ,Sagittaria sagittifolia 
sparganiumemersum ,Sparganium emersum 
elodeanuttallii ,Elodea nuttallii 
potamogetoncoloratus ,Potamogeton coloratus 
myosotisscorpioides ,Myosotis scorpioides 
nupharpumila ,Nuphar pumila 
nitellaspp.,Nitella spp.
juncusbulbosus ,Juncus bulbosus 
potamogetonpolygonifolius ,Potamogeton polygonifolius 
myriophyllumalterniflorum ,Myriophyllum alterniflorum 
sparganiumminimum ,Sparganium minimum 
hippurisvulgaris ,Hippuris vulgaris 
sparganiumangustifolium ,Sparganium angustifolium 
potamogetonberchtoldii ,Potamogeton berchtoldii 
