"a1","Zonation and succession The Lemnetum gibbae is typically found as floating mats adjacent to or among emergents of eutrophic and more shallow open waters. In the early stages of recovery after disturbance, it may be the only kind of truly aquatic vegetation, but it can occur with other duckweed com munities and, as succession resumes in the clearing waters, submerged plants can develop beneath it and floating or floating-leaved macrophytes among it, these latter able to replace it in time. With the increasing eutrophication and pollution of lowland water bodies, the Lemnetum gibbae may become a more extensive permanent feature. Very commonly around the fringes of ditches and ponds with fine mineral substrates, the community occurs among semi-submerged mats and emergent shoots of such water-margin vegetation as the Glycerietum fluitantis or other Glycerio-Sparganion assemblages dominated locally by plants like Nasturtium officinale, Apium nodiflorum, Berula erecta, Veronica beccabunga or Callitriche stagnalis, themselves well suited to the periodic instability of such habitats. In other cases, the Lemnetum gibbae can be found among emergent stands of the Sparganietum erecti, the Glycerietum maximae, the Typhetum latifoliae, the Phragmitetum or, in brackish ditches, the Scirpetum maritimae, and these may provide shelter for the duckweed mats out into deeper water. Where the water is standing or sluggish and relatively unaffected by wind, the Lemnetum can extend out as a surface mat beyond the zone of swamp vegetation and is sometimes the only kind of floating aquatic community. In other places, though, it can be found with the Lemnetum minoris, grading to it with a switch in dominance from L. gibba to L. minor, or with the richer Spirodela-Hydrocharis community, both of which it can probably replace. Where there has been regrowth of floating-leaved aquatics, the Lemnetum gibbae can occur as mosaics with the Potamogeton natans, Polygonum amphibium or Nuphar lutea communities, and as a mat over a variety of submerged aquatic vegetation, especially assemblages typical of more eutrophic or somewhat brackish waters, like the Ceratophylletum submersi, the Ceratophylletum demersi, the Elodea canadensis community and some of the fine-leaved Potamogeton communities. With regular disturbance and increasing enrichment, the Lemnetum gibbae may become repeatedly or more or less permanently established as part of a more impoverished suite of aquatic communities. Distribution "
"a10","Zonation and succession The Polygonum community occurs in its more permanent aquatic habitats with a variety of other free-floating and floating-leaved vegetation, and sometimes with an abundant submerged element. Emergents or water-margin plants often grow through stands in their colonisation of more shallow open waters and, provided the cover is not too densely shading, patches of P. amphibium can remain among these into quite advanced states of terrestrialisation. Periodically flooded ground with this kind of vegetation usually has mosaics or zonations with a variety of inundation communities. Sometimes, the Polygonum community is the only kind of floating-leaved vegetation in open waters, par ticularly where banks drop sharply to some depth or where there is marked fluctuation. Often, though, it occurs with stands of the Nymphaeetum or the Nuphar or Potamogeton natans communities and, where there is a gentle increase in depth, these can grow much further out than P. amphibium and may form an extensive zone beyond it. In other cases, small patches of all these vegetation types can occur in more intimate and frag mentary disposition, as in many small pools, and canals, or along the length of dykes and river margins. Stands of the Lemnetum minoris frequently persist among the Polygonum community, and these two types of vege tation may be among the first to return in any abundance after periodic spates. Stiller waters, particularly those that are somewhat more eutrophic, can have Elodea canadensis vegetation beneath the Polygonum community or sometimes the Potamogeton pectinatus-Myriophyllum spicatum vege tation, while around the margins of lakes towards the north and west there can be a sparse Littorella-Lobelia sward over the substrate. In these latter situations, the Polygonum community can be found as an element in vegetation patterns which do not seem to be subject to any but the slowest of successions (Spence 1964), and it can persist in more open stands of swamps like the Caricetum rostratae, the Caricetum vesicariae, the Equisetetum fluviatilis and the Scirpetum lacustris where these have colonised shal lower open water, and remain in patches in marginal Potentillo-Caricetum fen rafts. In the lowlands, and particularly in more mesotrophic water bodies with mineral substrates, serai processes can proceed much more quickly if the dykes or pools are not kept open. Here, the Polygonum community can be found beyond or within advancing emergent vegetation like the Glycerietum maximae, the Caricetum ripariae, the Typhetum angustifoliae, the Typhetum latifoliae and the Sparganietum erecti, eventually being shaded out in dense stands. It also often occurs around water margins with various types of Glycerio-Sparganion vegetation and this kind of association is characteristic, too, of some periodically wet habitats like flood-plain pools or seasonally wet lowland streams. At the limit of gleying around such places, there can be a zone of the Phalaridetum. Particularly distinctive of situations that are inundated from time to time are patchworks of the Polygonum community, occupying the wettest areas, with various kinds of Bidention vegetation disposed over moist silts and sands around, species such as Bidens tripartita, Polygonum lapathifolium, P. mite and P. hydropiper often assuming local dominance in virtually pure stands of one or other species. These in turn can be surrounded by a zone of Elymo-Rumicion vegetation, like the Festuca-Agrostis-Potentilla community which can grade in virtually continuous fashion to unflooded pasture on higher ground. Distribution "
"a11","Zonation and succession The Potamogeton-M. spicatum community is found alone, or with other submerged aquatic vegetation, extending to the limits of colonisation in less turbulent, base-rich waters, thinning out in more exposed situations and being replaced by other communities where conditions become less calcareous and eutrophic. Open covers of floating or floating-leaved aquatics can be found on the surface above the community and in shallower waters there can be invasion by swamp vegetation. Through the lowlands of southern and eastern Bri tain, the P. pusillus and Elodea sub-communities can be found in less polluted, sluggish waters grading to locally dense stands of Elodea vegetation in which associate species are very few and sparse, or in shaded situations to luxuriant patches of the Ceratophylletum demersi. Very commonly, too, especially with the Elodea sub community, there is an associated floating mat of the Lemnetum minoris or sometimes an open cover of the Polygonum amphibium, Potamogeton natans or Nuphar lutea floating-leaved vegetation. The most frequently associated swamps of open-water transitions from such aquatic assemblages are the Sparganietum erecti, the Typhetum latifoliae, the Phragmitetum and the Glycerietum maximae, with the Caricetum ripariae and Scirpetum lacustris more occasionally represented. Around the shelving water margins of small pools, dykes and canals and along the banks of streams, various kinds of Gly-cerio-Sparganion vegetation can also be found trailing out into the Potamogeton-M. spicatum community. Where there is an increase in turbulence in such waters, shifting into wave-disturbed zones or into more fast-moving or spatey streams, the P. pusillus and Elodea sub-communities become increasingly sparse in cover, and impoverished in their species content, such that just scattered, puny plants of P. pectinatus and M. spicatum finally remain. Further upstream in base-rich moving waters, these kinds of vegetation can be replaced by the Ranunculetum fluitantis, the Ranunculus penicillatus community or Callitriche stands. Patterns involving the P. filiformis sub-community in its distinctive north-west Scottish sites are of a rather different character, particularly where there is some influence within the same loch or pool of peaty, base poor waters, quite a common and very striking feature over parts of the machair. Here, such submerged vege tation as the Elodea communities and the Ceratophylletum demersi are rarely present, although where there is some saline influence, the Potamogeton-M . spicatum vegetation may give way to the Ruppietum maritimae in which such species as P. pectinatus, Ranunculus baudotii, Hippuris vulgaris and Zannichellia palustris maintain some representation. More often, with the decreasing influence of shell-sand, there is a fall in pH and conductivity of the waters and the community is replaced by the Potamogeton-M. alterniflorum vegetation. The P. filiformis sub-community can be seen as transitional to this assemblage and, indeed, P. pectinatus, P. filiformis, P. pusillus and P. natans can run on into it at moderately high frequency and with some local abundance. Typically, though, it is P. perfoliatus and P. gramineus which provide the most consistent element of the less calcico-lous vegetation, together with M. alterniflorum, which almost completely replaces M. spicatum. In some places, where peaty shallows pass quite suddenly to shelly beds further out, the switch from one vegetation type to the other is quite sharp, but often the influence of the different substrates is less well defined, when transitions can be extensive. There is often, too, some Littorella uniflora amongst both assemblages, which adds to the continuity of the pattern, and this can thicken up locally in zonations to the Littorella-Lobelia community, especially where the substrate becomes gravelly. A floating-leaved element may be represented by the Nymphaeetum albae or the Potamogeton natans community and the usual swamps associated with the margins of these waters are the Eleocharitetum palustris, the Equise-tetum fluviatilis, the Caricetum rostratae or, occasionally, the Phragmitetum. Such sites have, for the most part, been spared any marked influence of eutrophication or pollution but, elsewhere, the P. pusillus and Elodea sub-communities have often been replaced by impoverished P. pectinatus vegetation with increased richness and contamination of the waters. Distribution "
"a12","Zonation and succession In highly eutrophicated and polluted sites, this community may be the only kind of aquatic vegetation to survive but, in cleaner conditions, it can be found with various other submerged, floating and floating-leaved assemblages typical of richer waters. In more base-rich pools, dykes and streams, the P. pectinatus community can sometimes be clearly seen as an impoverished form of the Potamogeton-M. spicatum vegetation, developed where this particular species of pondweed has attained local luxuriance, and grading to the richer assemblage with an increase in the frequency and cover of M. spicatum, Elodea canadensis or E. nuttallii and other Potamogeton spp., such as P. perfoliatus, P. crispus, P. pusillus and P. lucens. The Elodea spp. may themselves thicken up patchily into species-poor stands, and there can also be stretches among these mixtures dominated by the Ceratophylletum demersi. The Polygonum amphibium community may also form a canopy of floating leaves in the shallower waters, with Nuphar lutea stands occurring further out in deeper pools, dykes and slow-moving waters. Mats of the Lemnetum gibbae and the Lemnetum minoris may occur in sheltered situations. A variety of emergents can invade the margins of such open waters, with communities like the Sparganietum erecti, the Typhetum latifoliae, the Phragmitetum and the Glycerietum maximae developing as a zone in the shallows or as clumps distributed along the edges of dykes and streams. These may persist around the fringes of eutrophicated and polluted waters, where the aquatic element is reduced to clumps of the P. pectinatus community and sparse Elodea vegetation and Ceratophylletum demersi. In brackish situations, the P. pectinatus community may again be the sole surviving vegetation where there has been some contamination of the waters but, in cleaner dykes and pools in, for example, coastal marshes, it can occur with the richer Potamogeton-M. spicatum assemblage and dense stands of the Ceratophylletum submersi. In this latter, P. pectinatus can maintain its constancy but it yields in abundance to plants such as Ceratophyllum submersi, Zannichellia palustris and Ranunculus baudotii. Floating mats of the Lemnetum minoris can also occur over such vegetation and there can be colonisation by the Scirpetum maritimi or Scirpetum tabernaemontani. Fragmentary patterns of the kind described for fresh waters will persist in quite swift flows, as in mill races, watercress bed feed-streams and the upper reaches of rivers and, in such situations, there is often some zonation to patches of the Callitriche stagnalis community or various kinds of crowfoot vegetation. There can also be some seasonal variation in the prominence of the different dominants too, with C. stagnalis and the Ranunculus spp. showing luxuriance in late spring and early sum mer, P. pectinatus reaching its peak of abundance later in the year, along with the Glycerio-Sparganion vege tation that frequently trails into the margins of such waters. In chalk streams, some of these marginal plants, like Apium nodiflorum and Nasturtium officinale, together with various crowfoot taxa, can penetrate to the higher reaches, while the Callitriche and P. pectinatus communities peter out at lower levels. Along waters draining sandstone rocks and shales, Callitriche vege tation can replace the P. pectinatus community with the shift to swifter flows upstream. Distribution "
"a13","Zonation and succession The Potamogeton-M. alterniflorum community is usually found with other kinds of aquatic vegetation in characteristic zonations of less base-rich and only moderately fertile waters, becoming attenuated with increasing turbulence and giving way to other assemblages where conditions become more calcareous or eutrophic. Colonisation by emergents around the margins of waters with the community is usually fairly slow and in some places succession to swamp may be very long delayed. Sometimes, around the sheltered shores of lakes in north-west Britain, the Potamogeton-M. alterniflorum vegetation is the first community of submerged aquatics encountered in moving offshore, colonising fine to fairly coarse sediments deposited in depths of 50 cm or more and free of much turbulence. Very often, however, there is in the shallows inshore, and particularly where these have a coarse sandy or gravelly bed, a zone of Littorella-Lobelia vegetation. As well as Littorella, M. alterniflorum may run on into such swards in some abundance blurring the boundary but, apart from occasional P. perfoliatus, P. gramineus, P. pusillus and P. filiformis, pondweeds are scarce, whereas Lobelia dortmanna increases greatly in frequency and cover. In shallow or moderately deep waters, the Potamogeton-M. alterniflorum community may continue and occupy most of the lake floor wherever suitable sediments occur, but quite commonly it is replaced below by a zone of Isoetes lacustris vegetation, as in the patterns described from Scottish lakes described by Spence (1964). Much more locally, usually in smaller and shallower waters, stands of the rare I. setacea can occur among the Potamogeton-M. alterniflorum community. Then, such sequences quite frequently have dense stretches of Chara or Nitella spp. from which flowering plants are virtually absent, and these may extend both above and below the Potamogeton-M. alterniflorum vegetation, as in the zonation shown by Pearsall (1918) from Fold Yeat Bay in Esthwaite. In other localities, luxuriant patches of the species-poor M. alterniflorum community can be found among the pondweed vege tation (Spence 1964) and it is sparse stands of this plant which generally replace the Potamogeton-M. alterniflorum community in the faster or more spatey stretches of mesotrophic and more base-poor rivers through the upland fringes. In somewhat more fertile, standing or sluggish waters with the P. berchtoldii sub-community, vigorous stands of Elodea vegetation may also be seen and, if eutrophication of upland lakes increases, this might be expected to overwhelm richer pondweed as semblages of this kind. Particularly striking patterns are seen in those open waters in north-west Scotland where the P. filiformis sub-community occurs in the less calcareous shallows of some of the machair lochs, notably on South Uist, grading to the more basiphilous Potamogeton-M. spicatum vegetation where the influence of shell-sand pre vails. Species such as P. pectinatus, M. spicatum, Ranunculus baudotii and Hippuris represent a transition to the P. filiformis sub-community of that assemblage, and where the effect of the different substrates and waters is ill-defined, the stands of the different vegetation types may intergrade. As a rule, however, M. alterniflorum tends to be very sparsely represented in the Potamogeton-M. spicatum community, with P. gramineus usually only occasional. Both kinds of Potamogeton-M. alterniflorum vege tation can be found with a floating-leaf canopy of the Potamogeton natans community, with the Nyphaeetum albae often represented in deeper waters or, in somewhat more eutrophic situations, the Nuphar lutea community. The usual swamps associated with such aquatic assemblages are the Eleocharitetum, the Equisetetum, the Caricetum rostratae, the Scirpetum lacustris and the Pragmitetum, with usual but slow succession to the Potentillo-Caricetum or Caricetum vesicariae fen (Figure 6). Distribution "
"a14","Zonation and succession In both standing and moving waters, the Myriophylletum tends to occupy some of the more turbulent situations, giving way to other kinds of aquatic vegetation where conditions are stiller and substrates more fertile. It is replaced in dystrophic peaty waters by different submerged communities and is sometimes found with more basiphilous aquatic assemblages where there is local influence of lime-rich substrates and waters. In lakes with more acidic waters, the Myriophylletum can be found down to about 3 m depth where conditions are clear, and on moderately exposed shores it often passes in the gravelly or stony shallows to the Littorella-Lobelia community. M. alterniflorum usually remains very frequent in this vegetation, but Littorella uniflora and Lobelia dortmanna become constant and are generally of high cover. Then, in deeper water where there is a little less turbulence and more deposition of fine mineral material, the Myriophylletum gives way to the Potamogeton-M. alterniflorum community. The two vegetation types intergrade, but there M. alterniflorum is typically accompanied by, not only L. uniflora, but also a variety of pondweeds, of which the commonest are Potamogeton perfoliatus, P. gramineus, P. pusillus, P. berchtoldii and P. obtusifolius, all of these more prone to battering than the milfoil. Dense stands of Chara or Nitella spp. also often occur. A clear zonation involving all these communities is shown in Pearsall's (1918) sketch of aquatics in Fold Yeat Bay in Esthwaite. The Potamogeton-M. alterniflorum vegetation can also be seen replacing the Myriophylletum in moving waters where the flow becomes a little slacker or less spate-prone in moving downstream, and the deposition of mineral material more extensive. Towards the upper reaches of such streams, the Myriophylletum can show extensive overlap with the Callitriche stagnalis community, and indeed this vegetation may replace it where vascular plants retain a patchy presence far up into the torrent-like heads of such river systems. In other places, the Myriophylletum represents the limit of such vege tation before bryophyte communities of submerged rocks dominate the aquatic environment. Another fairly frequent transition can be seen where quieter stretches of peaty waters interrupt or replace more fast-flowing rocky reaches with the shift to gentler, boggy terrain. Then, the Myriophylletum often gives way to Potamogeton-Ranunculus soakways, with P. polygonifolius, Ranunculus flammula, R. omiophyllus and Agrostis stolonifera. Pools along such trickling waters may also have Juncus bulbosus vegetation, but M. alterniflorum only rarely extends into such dystrophic assemblages. Distribution "
"a15","Zonation and succession The E. canadensis community can be found with a variety of other submerged aquatic vegetation in more nutrient-rich, standing or slow-moving waters, although where conditions are especially congenial it may over whelm these with its luxuriant growth. Open covers of floating-leaved or floating vegetation may occur above the pondweed, and the community can persist in sparse swamp but, where colonising emergents become dense, it is shaded out. In many lowland ponds, dykes and canals, stands of E. canadensis are a major element among the aquatics, sometimes the only submerged vegetation. Duckweed mats are often found in association, of the simpler kind with Lemna gibba or L. minor or, in purer waters, of the richer Spirodela-Hydrocharis type. In a very few places, as among some of the Broadland dykes, the E. canadensis community occurs in intimate association with Hydrocharis-Stratiotes vegetation. Stands can persist, too, beneath open canopies of the water-lily communities, the Nymphaeetum albae and, more commonly in richer waters, the Nuphar lutea vegetation, or under the Potamogeton natans or Polygonum amphibium communities, but wherever these become dense, E. canadensis tends to be shaded out. Quite often, in such situations, or beneath overhanging woody vegetation alongside dykes or streams or around pond margins, it is replaced by the more tolerant Ceratophylletum demersi. In other places, there is a more varied submerged aquatic flora in which stands of E. canadensis become locally dense among richer assemblages like the Potamogeton-M. spicatum community of cleaner, base-rich, eutrophic waters. However, comparing past and present accounts of aquatic vegetation, it seems certain that some of the spread of E. canadensis has been at the expense of such communities, their diversity in composition and dominance being reduced as a result. The same trend is visible to a lesser extent in the Potamogeton-M. alterniflorum vegetation, though this is a community of more base-poor and less eutrophic waters, many of whose stands occur beyond the range of E. canadensis. Both these kinds of pondweed vegetation and related M. alterniflorum stands can also tolerate somewhat more fast-moving waters than the E. canadensis community and they persist, albeit often in attenuated forms, higher upstream than it can penetrate. The same is true of crowfoot vegetation dominated by Ranunculus penicillatus ssp. pseudofluitans and R. flui tans, though these can be found in patchworks with E. canadensis in more slow-moving reaches of streams and rivers, the proportions of the vegetation types often varying from season to season and through any years (Butcher 1933). E. canadensis is sometimes found growing with its more recently introduced relative E. nuttallii, although great abundance of the one is rarely seen among vigorous plants of the other, and it is possible that there is some kind of competitive relationship between the two. Certainly, there are cases where E. nuttallii has been seen actually to replace E. canadensis over a few years (Briggs 1977, Lund 1979), although the basis of such changes is unclear (Simpson 1984). In polluted waters, neither of these pondweeds thrives and, in the many places where effluents have drained into open waters with the E. canadensis community it has been replaced by P. pectinatus vegetation where any vascular plants at all have survived. Many of the more fertile lowland waters favoured by E. canadensis are very prone to marginal invasion of swamp plants, and stands are sometimes found among open covers, the Scirpetum lacustris, the Typhetum latifoliae or Glycerio-Sparganion water-margin vegetation, but any more than light shade is inimical to the pondweed. Distribution "
"a16","Zonation and succession The C. stagnalis community occurs with a wide range of other submerged, floating-leaved and floating aquatic vegetation in diverse patterns in the different habitats in which it is found. In stiller, shallow waters, especially where these are more eutrophic, invasion by emergents is common and sometimes rapid, but C. stagnalis vege tation can persist long on periodically flooded ground among advancing swamps and even reappear in rain-filled pools where climax forest is opened up. In such habitats as dykes, canals and ponds, the community can be found among other more speciespoor assemblages of submerged aquatics like the Ceratophyllum demersi, the Elodea canadensis vegetation and stands of Potamogeton pectinatus, though it is usually more strictly confined than these to shallow waters, and it will not stand as much turbidity as the first, nor as much enrichment and pollution as the last. Cleaner and more base-rich waters, standing or with up to moderately fast flow, may also have the richer and more diverse Potamogeton-M. spicatum community, among which various Callitriche spp. can remain occasional and locally quite abundant. On the surface of these kinds of waters, the Callitriche stands can sometimes be seen in more open stretches of floating-leaved covers of the Nuphar lutea, the Potamogeton natans or the Polygonum amphibium communities and, where the waters are more sluggish or still, there are very often patches of the Lemnetum gibbae, the Lemnetum minoris or, more locally, the richer Spirodela-Hydrocharis vegetation. In Broadland dykes, stands of C. platycarpa occur in some abundance among the Hydrocharis-Stratiotes community. Where the muddy margins of such open waters are periodically exposed, C. stagnalis vegetation can persist for some considerable time on the moist ground, often with scattered thalli of the duckweeds, and sparse patches of such mixtures can survive long in the shade of invading emergents. Most commonly, around these stiller, eutrophic waters, it is communities like the Phragmitetum, the Glycerietum maximae, the Typhetum latifoliae and the Sparganietum erecti that colonise the transitions, with various kinds of Glycerio-Sparganion vegetation, patchily dominated by such plants as Nas turtium officinale, Apium nodiflorum, Veronica beccabunga and smaller Glyceria spp., along the disturbed edges of dykes and streams. It is this latter kind of vegetation that usually provides a marginal fringe to stands of the C. stagnalis community in the middle and upper reaches of its Chalk stream habitat. Where there is a perennial water flow, the starworts can be very prominent in a band up to 1 m wide along the edge of a stream, mixed in with floating shoots of the Glycerio-Sparganion herbs. Submerged clumps of the community can extend into the deeper waters of the stream centre, but their cover is usually of minor importance compared with the luxuriant crowfoot vegetation that typically dominates that zone. Ranunculus penicillatus ssp. pseudofluitans is particularly important in such reaches, but R. aquatilis and R. peltatus also occur, and indeed it is these latter species which generally extend higher into the summer-dry reaches of the streams where, together with the C. stagnalis community, they form the bulk of the cover on the dampest ground of the bed (Haslam 1978). In the fast-flowing, acidic and impoverished waters of streams in the upland fringes, the vegetation patterns look very different. Here again, the C. stagnalis community becomes more obvious in the upper reaches, but its usual companions are assemblages like the Potamogeton-M. alterniflorum vegetation or, in swifter streams, the Myriophyllum community. Glycerio-Sparganion vegetation can occur, often rather fragmentarily, along the banks or patches of the Sparganietum erecti or the Phalaridetum, or there can be just slumped slabs of the surrounding pasture, with more moisture tolerant herbs showing locally luxuriant growth. Where peaty waters drain in, or where there is a transition to bog soakways, the C. stagnalis community often passes to Potamogeton-Ranunculus vegetation in which starworts can retain an occasional presence, though in associated dystrophic pools, there is usually a sharp switch to Juncus bulbosus vegetation. In the swiftest reaches of mountain streams, the C. stagnalis community maintains only a sparse presence in slacker byways, and is finally replaced entirely by submerged moss-dominated vegetation. Distribution "
"a17","Zonation and succession R. penicillatus ssp. pseudofluitans vegetation is sometimes found dominating whole stretches of streams and rivers to the virtual exclusion of other aquatics, but often it occurs with other assemblages of submerged and floating-leaved plants in patterns related to the speed of flow and trophic state of the waters. Zonations along and across Chalk streams are especially distinctive with seasonality of flow becoming important in the upper reaches. Where this kind of vegetation extends into slacker waters it shows some overlap in its occurrence with Elodea canadensis stands and the Ceratophylletum demersi, the former like the crowfoot tending to be most prominent in early summer, the latter becoming more abundant later in the season. There can also be considerable differences in the proportions of the communities from season to season (Butcher 1933). With increase in the trophic state of the waters and a shift to finer sediments, as happens in moving downstream, it is vegetation of this kind that eventually replaces the R. penicillatus ssp. pseudofluitans, or there may be a switch to richer Potamogeton-M . spicatum vegetation, a pattern well seen with the move to clay substrates in the lower reaches of some Chalk streams. The Nuphar lutea community can also become prominent over crowfoot stands as such quieter, richer waters are reached. Callitriche stagnalis stands are common, too, in shal lower or sheltered places in these stretches but it is in the higher, faster reaches that this vegetation becomes really abundant in Chalk streams, forming a zone along the water margins either side of a central strip often dominated by R. penicillatus ssp. pseudofluitans, but with locally prominent Ranunculetum aquatilis and Ranunculetum peltati. Patches of herbs like Berula erecta and Apium nodiflorum can be abundant among the sub merged crowfoots, particularly as these lose their vigour later in the season, and they often thicken up in shal lower margins, together with Nasturtium officinale, to form a semi-emergent band of Glycerio-Sparganion vegetation, with occasional clumps of Sparganietum erecti swamp. Higher still, where summer flow becomes sporadic or non-existent, R. pencillatus ssp. pseudofluitans tends to yield dominance in the central zone to the Ranunculetum aquatilis and Ranunculetum peltati with patches of Callitriche vegetation, and the Glycerio-Sparganion herbs may extend in irregular fashion over much of the stream bed. R. penicillatus ssp. pseudofluitans is only rarely represented in the aquatic assemblages of more base-poor streams and rivers where Callitriche and Myriophyllum alterniflorum vegetation are the major elements in faster reaches, but ssp. penicillatus (Webster 1988) is locally found there, and further sampling is needed through western England and Wales to establish the character of its stands (Newbold & Palmer 1979, Holmes 1983). Distribution "
"a18","Zonation and succession The Ranunculetum fluitantis can sometimes monopolise the vegetated stretches in faster, stony-bedded rivers but it is often found in mosaics with other aquatic communities where there is variation in turbulence and depth of the waters and the character of the substrate, and gives way to other assemblages with a shift in these factors downstream and up. Where the flow becomes a little slacker and the bed finer, this kind of vegetation can be found with stands of Elodea canadensis and, where the waters are less base poor, the Potamogeton-M . spicatum community, and these may replace the Ranunculetum fluitantis where lower river catchments are dominated by shales or clays. In highly eutrophic steams, Potamogeton pectinatus stands can take over from the community. Floating leaved stands of Potamogeton natans or Polygonum amphibium may occur and in the shallows there can be a zone of Glycerio-Sparganion vegetation or patches of the Phalar ide turn. These often persist along the margins of moving waters upstream of the major Ranunculetum fluitantis stretches where the submerged vegetation tends to com prise mixtures of Callitriche stagnalis stands, sometimes with the Ranunculetum aquatilis or, in more base-poor streams, the Potamogeton-M. alterniflorum or M. alterniflorum communities. Distribution "
